17.0298 23.2694	-0.00554935 -0.666697
21.1329 23.3496	0.229872 0.218903
20.6548 25.9854	0.406465 0.432426
21.1697 25.0899	-0.140275 0.489106
22.1695 23.367	0.136043 -0.505331
16.5277 24.1634	-0.577391 -0.00230824
19.4653 23.1307	0.232773 0.227501
20.1237 25.0587	0.0406061 0.643324
15.0727 24.9134	-0.102826 -0.112666
15.8807 27.7235	0.228217 -0.276411
20.2454 28.1418	-0.123068 0.683932
17.523 24.2026	-0.0518464 -0.118303
18.5636 23.9929	-0.155251 -0.0526495
18.4875 22.8903	-0.0479306 -0.633474
21.6914 25.9599	0.117992 0.143191
19.2225 28.1833	-0.446532 0.221479
15.4033 26.8536	-0.0774832 -0.0646808
20.6473 24.1878	0.969237 -0.398379
18.055 26.5972	-0.448571 -0.192324
16.7904 22.2459	0.148332 -0.852652
17.0884 25.156	0.173235 0.417295
20.5927 27.1016	0.414844 -0.165225
21.6741 24.2297	0.145491 1.0534
15.77 23.4728	0.00417475 -0.592184
16.4436 26.9452	1.20233 0.470417
18.6462 25.815	0.250151 -0.282724
15.0424 25.9088	0.52759 -1.00663
17.9626 27.563	-0.0932104 0.280177
14.0825 26.1496	0.528042 -0.657269
21.696 27.3467	-1.06885 0.113135
14.9186 23.9313	0.042623 -0.221605
19.6015 25.8788	-0.284242 -0.504368
16.0336 26.0225	0.864286 0.781999
16.8911 27.8234	-0.358152 -0.0445744
27.5055 28.0478	0.246801 -0.370296
24.3873 3.5264	0.438068 0.445146
26.0709 5.67625	0.322292 0.368021
28.6685 27.7913	0.385396 -0.379697
22.7284 3.18794	0.409357 0.0582657
23.7037 5.10217	0.470631 -0.0873555
24.0803 6.06882	0.282948 0.929585
24.1352 0.912182	-0.780578 0.451307
25.094 5.97829	-0.32716 -0.658599
21.7825 4.29284	-0.250935 0.0550577
28.4629 5.61278	-0.261462 -0.0892753
22.4168 0.0885213	0.0446237 0.509107
24.4306 1.98738	0.585411 -0.188965
28.206 28.7844	0.087206 0.173393
23.4663 1.76893	-0.157238 0.283075
25.4107 2.20248	0.28658 -0.743671
23.4545 3.96271	-0.723012 0.112516
22.2243 6.46549	0.279505 0.0833393
25.9081 4.13659	0.148629 0.213516
25.3766 3.24544	-0.0762376 0.34467
28.3539 2.41145	-0.152925 0.472538
23.0063 5.84526	-0.418636 -0.173309
24.4216 4.48374	-0.971998 -0.406834
25.7929 1.27948	0.272967 -0.381338
26.6041 4.85028	-1.30071 -0.180396
25.4504 28.3959	0.291872 0.581327
26.1561 0.300314	0.352597 -0.000831375
22.8105 4.75981	0.388089 0.0799322
27.5607 5.08112	-0.0490103 0.609669
27.1438 0.141906	0.0414708 0.189972
26.4294 2.07447	-0.174439 0.206438
22.4932 1.66074	-0.216524 -0.32379
24.9529 6.97395	-0.169959 0.439473
25.3179 4.95072	-0.354869 -0.34026
26.6137 3.38894	0.838904 -0.0389854
23.6456 2.78617	-0.557692 -0.246678
23.1086 0.831141	0.239772 0.0209529
27.6428 3.19274	-0.049796 -0.94669
25.1266 0.545871	-0.212784 -0.465888
27.7844 0.912871	1.08053 0.00968623
21.3894 0.468897	-0.193307 0.218614
27.4707 1.88758	0.443116 0.256744
28.7668 0.830097	-0.191055 -0.548662
27.2812 4.13209	-0.638486 -0.187291
26.7926 1.12086	0.344291 0.187731
